"Siena University",,,,,,,,,,,,,,,
"There were: 515 possible respondents.",,,,,,,,,,,,,,,
Order,Question Text,N,Avg,SD,CSIS Avg,School Avg,Siena Avg,Str Disagree,Disagree,Some Disagree,Neither,Some Agree,Agree,Str Agree,Neutral
1,Completed assigned work before class,395,6.00,1.25,6.31,6.36,6.37,1%,2%,4%,3%,14%,33%,43%,1%
1,Instructor communicated subject clearly,391,6.20,1.05,6.02,6.00,6.08,1%,1%,2%,1%,13%,34%,48%,0%
2,Student came prepared for class,393,6.23,1.02,6.33,6.32,6.35,1%,0%,2%,3%,10%,35%,49%,0%
2,Instructor enthusiastic about subject,392,6.87,0.54,6.40,6.46,6.50,1%,0%,0%,0%,0%,9%,90%,0%
3,Student contributed to class discussions,391,5.81,1.16,5.81,5.79,5.92,1%,1%,1%,11%,20%,32%,33%,1%
3,Instructor created respectful atmosphere,393,6.60,0.77,6.38,6.37,6.40,1%,0%,0%,1%,5%,22%,70%,0%
4,Instructor available outside class,392,6.60,0.82,6.24,6.23,6.23,1%,0%,1%,1%,3%,23%,69%,2%
5,Instructor gave useful feedback,392,6.44,0.88,6.10,6.02,6.06,1%,1%,0%,1%,7%,33%,58%,0%
6,Student challenged to do best work,392,6.62,0.76,6.14,6.17,6.17,1%,1%,0%,1%,2%,25%,71%,0%
,,,,,,,,Str Disagree,Disagree,Some Disagree,Neither,Some Agree,Agree,Str Agree,Neutral
6,Critical/ creative thinking improved,135,6.28,0.92,6.25,6.02,6.05,1%,0%,0%,4%,10%,37%,48%,1%
7,Research skills developed further,135,5.92,1.11,5.75,5.73,5.77,1%,0%,1%,10%,16%,31%,33%,9%
,,,,,,,,Str Disagree,Disagree,Some Disagree,Neither,Some Agree,Agree,Str Agree,Neutral
8,Sought instructor help when needed,388,6.20,1.05,6.08,5.99,5.97,0%,1%,1%,4%,10%,32%,48%,3%
,,,,,,,,Str Disagree,Disagree,Some Disagree,Neither,Some Agree,Agree,Str Agree,Neutral
8,Able to integrate information/ make reasoned judgements,135,5.94,1.07,5.96,5.85,5.92,1%,0%,1%,7%,17%,33%,33%,8%
9,Enhanced ability to read/ comprehend texts,134,5.77,1.12,5.71,5.62,5.91,0%,1%,1%,12%,16%,28%,26%,16%
10,More confident in communication skills,134,5.65,1.18,5.48,5.50,5.73,0%,1%,0%,20%,11%,28%,25%,15%
11,Improved listening ability,134,6.07,0.92,5.94,5.89,5.98,0%,0%,0%,6%,17%,33%,36%,8%
12,Can employ concepts of skepticism/ empiricism,134,5.60,1.18,5.60,5.61,5.64,1%,1%,0%,15%,15%,30%,19%,19%
13,Better able to apply quantitative skills,134,5.80,1.10,5.96,5.89,5.61,1%,0%,0%,13%,18%,34%,28%,6%
14,Improved ability to form hypotheses/ make reasoned judgements,134,5.85,1.21,5.84,5.86,5.76,1%,0%,1%,10%,14%,31%,31%,13%
15,Course allowed exploration of diversity/ inclusion,133,4.96,1.49,4.74,4.86,5.77,2%,2%,0%,23%,4%,17%,8%,44%
16,Self awareness of biases toward others,133,5.08,1.50,4.92,4.96,5.65,2%,1%,0%,21%,3%,17%,10%,46%
17,Understand duty to affirm rights of others,132,5.66,1.31,5.35,5.38,5.92,1%,1%,0%,14%,3%,23%,17%,42%
18,Course allowed exploration of traditions in history,133,4.88,1.50,4.76,4.80,5.69,2%,2%,0%,23%,4%,12%,9%,48%
19,Can show how traditions address humanistic/ religious questions,133,4.97,1.43,4.73,4.79,5.57,2%,1%,1%,23%,4%,14%,9%,47%
20,Can identify own traditions with others when presenting a position,133,4.99,1.46,4.80,4.86,5.59,2%,1%,2%,22%,5%,13%,10%,47%
21,Course allowed exploration of social justice concepts,133,4.99,1.42,4.75,4.85,5.74,2%,1%,0%,23%,5%,13%,9%,48%
22,Can apply social justice principles to learn extent they are unrealized,133,5.01,1.45,4.80,4.88,5.63,2%,1%,1%,22%,5%,13%,10%,48%
23,Can recognize underlying factors in social injustice,133,5.06,1.41,4.80,4.90,5.67,2%,1%,0%,20%,8%,12%,10%,48%
24,Course allowed exploration/ application of scientific method,132,5.64,1.14,5.58,5.87,5.36,0%,0%,0%,16%,8%,22%,17%,36%
25,Appreciation of link between nature/ effect of human involvement,132,5.37,1.24,5.00,5.66,5.52,0%,0%,1%,20%,5%,15%,13%,46%
